player_id,player_name,team,bye_round,price,current_round,vs_team,venue,jersey_number,total_points,avg_points,total_minutes,avg_minutes,points_per_minute,base_ppm,pts_base,pts_attack,pts_create,pts_evade,pts_negative,base_power_pts,base_power_ppm,avg_base_power,stat_tries,stat_try_assists,stat_last_touch,stat_goals,stat_missed_goals,stat_field_goals,stat_missed_fg,stat_tackles,stat_missed_tackles,stat_tackle_breaks,stat_forced_dropouts,stat_offloads,stat_ineff_offloads,stat_line_breaks,stat_lb_assists,stat_forty_twenty,stat_kick_regather,stat_hitups_h8,stat_hitups_hu,pct_h8,stat_held_goal,stat_intercept,stat_kicked_dead,stat_penalties,stat_errors,stat_sinbin,avg_last3,avg_last5,season_avg,surface,avg_penalties,avg_errors,avg_pc_er,pct_tackle_break,pct_missed_tackle,pct_offload,round_price_change,season_price_change,pct_60plus,end_price,start_price,avg_minutes_calc,games_played,std_dev_total,std_dev_round,cv_round,coeff_variation,avg_r1_9,avg_r10_18,avg_r19_27,avg_base,avg_scoring,avg_create,avg_evade,avg_negative,magic_number,avg_last2,avg_mins_last3,avg_mins_last5,break_even,pct_base,weather,positions,scrape_date,scrape_year
1,"Addo-Carr, Josh",PAR,12,591200,02,BRO,,5,21,21,80,80,0.26,0.23,18,3,0,0,0,18,0.23,,0,0,0,0,0,0,0,3,-2,0,0,0,0,0,0,0,0,14,3,70.0,3,0,0,0,0,0,0,0,21,,0,0,0,0,40,0,0,0,0,591200,591200,80,1,0,0,0,0,0,0,0,18,3,0,0,0,28152,0,0,0,144,86,,CTW,2026-03-26,2026
2,"Addo-Carr, Josh",PAR,12,591200,03,STG,,5,49,35,80,80,0.61,0.33,26,17,0,10,-4,36,0.45,,17,0,0,0,0,0,0,2,-1,10,0,0,0,0,0,0,0,18,7,56.3,0,0,0,0,-4,0,0,0,35,,0,0,0,31.3,33.3,0,0,0,0,591200,591200,80,2,14,14,0.4,0.4,0,0,0,26,17,0,10,-4,16891,35,0,0,120,49,,CTW,2026-03-26,2026
3,"Addo-Carr, Josh",PAR,12,591200,Totals,,,,70,35,160,80,0.44,0.28,44,20,0,10,-4,54,0.34,27.00,17,0,0,0,0,0,0,5,-3,10,0,0,0,0,0,0,0,32,10,61.5,3,0,0,0,-4,0,0,0,0,,0,-2,-2,19.2,0,0,0,0,0,591200,591200,0,2,14,14,0.4,0.4,35,0,0,22,10,0,5,-2,0,35,0,0,120,59,,CTW,2026-03-26,2026
4,"Afoa, Bunty",WST,01,235600,Totals,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,235600,235600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,,,FRF,2026-03-26,2026
5,"Aitken, Euan",STH,04,542800,01,DOL,,12,58,58,61,61,0.95,0.79,48,0,0,10,0,58,0.95,,0,0,0,0,0,0,0,28,-2,10,0,0,0,0,0,0,0,18,4,69.2,0,0,0,0,0,0,0,0,58,,0,0,0,38.5,6.7,0,0,0,0,542800,542800,61,1,0,0,0,0,0,0,0,48,0,0,10,0,9359,0,0,0,50,83,,2RF,2026-03-26,2026
6,"Aitken, Euan",STH,04,542800,02,SYD,,12,41,50,50,56,0.82,0.82,41,0,0,0,0,41,0.82,,0,0,0,0,0,0,0,28,-1,0,0,0,0,0,0,0,0,12,2,75.0,0,0,0,0,0,0,0,0,50,,0,0,0,0,3.4,0,0,0,0,542800,542800,56,2,8.5,8.5,0.17,0.17,0,0,0,41,0,0,0,0,10966,50,0,0,72,100,,2RF,2026-03-26,2026
7,"Aitken, Euan",STH,04,542800,Totals,,,,99,50,111,56,0.89,0.8,89,0,0,10,0,99,0.89,49.50,0,0,0,0,0,0,0,56,-3,10,0,0,0,0,0,0,0,30,6,71.4,0,0,0,0,0,0,0,0,0,,0,0,0,23.8,0,0,0,0,0,542800,542800,0,2,8.5,8.5,0.17,0.17,50,0,0,45,0,0,5,0,0,50,0,0,75,90,,2RF,2026-03-26,2026
8,"Alamoti, Paul",PTH,12,643000,01,BRO,,2,29,29,80,80,0.36,0.26,21,0,0,8,0,29,0.36,,0,0,0,0,0,0,0,14,-1,6,0,0,2,0,0,0,0,4,4,33.3,0,0,0,0,0,0,0,0,29,,0,0,0,50,6.7,16.7,0,0,0,590400,643000,80,1,0,0,0,0,0,0,0,21,0,0,8,0,22172,0,0,0,139,72,,CTW,2026-03-26,2026
9,"Alamoti, Paul",PTH,12,643000,02,SHA,,3,49,39,80,80,0.61,0.35,28,0,0,25,-4,48,0.60,,0,0,0,0,0,0,0,11,-4,12,0,8,0,0,0,0,0,14,7,50.0,0,5,0,0,-4,0,0,0,39,,0,0,0,42.9,26.7,14.3,0,0,0,590400,643000,80,2,0,10,0.26,0,0,0,0,28,0,0,25,-4,16487,39,0,0,124,53,,CTW,2026-03-26,2026
10,"Alamoti, Paul",PTH,12,590400,03,SYD,,3,63,47,80,80,0.79,0.41,33,0,4,30,-4,43,0.54,,0,0,4,0,0,0,0,16,-4,10,0,0,0,20,0,0,0,18,3,75.0,0,0,0,0,-4,0,47,0,47,,0,0,0,41.7,20,0,-52600,-52600,0,590400,643000,80,3,13.95,13.95,0.3,0.3,0,0,0,33,0,4,30,-4,12562,56,80,0,77,49,,CTW,2026-03-26,2026
