player_id,player_name,team,bye_round,price,current_round,vs_team,venue,jersey_number,total_points,avg_points,total_minutes,avg_minutes,points_per_minute,base_ppm,pts_base,pts_attack,pts_create,pts_evade,pts_negative,base_power_pts,base_power_ppm,avg_base_power,stat_tries,stat_try_assists,stat_last_touch,stat_goals,stat_missed_goals,stat_field_goals,stat_missed_fg,stat_tackles,stat_missed_tackles,stat_tackle_breaks,stat_forced_dropouts,stat_offloads,stat_ineff_offloads,stat_line_breaks,stat_lb_assists,stat_forty_twenty,stat_kick_regather,stat_hitups_h8,stat_hitups_hu,pct_h8,stat_held_goal,stat_intercept,stat_kicked_dead,stat_penalties,stat_errors,stat_sinbin,avg_last3,avg_last5,season_avg,surface,avg_penalties,avg_errors,avg_pc_er,pct_tackle_break,pct_missed_tackle,pct_offload,round_price_change,season_price_change,pct_60plus,end_price,start_price,avg_minutes_calc,games_played,std_dev_total,std_dev_round,cv_round,coeff_variation,avg_r1_9,avg_r10_18,avg_r19_27,avg_base,avg_scoring,avg_create,avg_evade,avg_negative,magic_number,avg_last2,avg_mins_last3,avg_mins_last5,break_even,pct_base,weather,positions,scrape_date,scrape_year
1,"Addo-Carr, Josh",PAR,12,591200,02,BRO,,5,21,21,80,80,0.26,0.23,18,3,0,0,0,18,0.23,,0,0,0,0,0,0,0,3,-2,0,0,0,0,0,0,0,0,14,3,70.0,3,0,0,0,0,0,0,0,21,,0,0,0,0,40,0,0,0,0,458300,591200,80,1,0,0,0,0,0,0,0,18,3,0,0,0,28152,0,0,0,144,86,,CTW,2026-05-27,2026
2,"Addo-Carr, Josh",PAR,12,591200,03,STG,,5,49,35,80,80,0.61,0.33,26,17,0,10,-4,36,0.45,,17,0,0,0,0,0,0,2,-1,10,0,0,0,0,0,0,0,18,7,56.3,0,0,0,0,-4,0,0,0,35,,0,0,0,31.3,33.3,0,0,0,0,458300,591200,80,2,0,14,0.4,0,0,0,0,26,17,0,10,-4,16891,35,0,0,120,49,,CTW,2026-05-27,2026
3,"Addo-Carr, Josh",PAR,12,552200,04,PTH,,5,73,48,80,80,0.91,0.38,30,17,6,26,-6,46,0.58,,17,0,0,0,0,0,0,5,0,16,6,0,0,10,0,0,0,22,3,78.6,0,0,0,-2,-4,0,48,0,48,,0,0,0,57.1,0,0,-39000,-39000,0,458300,591200,80,3,0,21.25,0.44,0,0,0,0,30,17,6,26,-6,11504,61,80,0,57,38,,CTW,2026-05-27,2026
4,"Addo-Carr, Josh",PAR,12,529800,05,WST,,5,29,43,85,81,0.34,0.34,29,0,0,4,-4,33,0.39,,0,0,0,0,0,0,0,10,-2,4,0,0,0,0,0,0,0,10,11,31.3,0,0,0,-2,-2,0,50,0,43,,0,0,0,12.5,16.7,0,-22400,-61400,0,458300,591200,81,4,0,20.1,0.47,0,0,0,0,29,0,0,4,-4,10596,51,82,0,70,88,,CTW,2026-05-27,2026
5,"Addo-Carr, Josh",PAR,12,529000,06,GCT,,5,70,48,80,81,0.88,0.34,27,17,0,30,-4,37,0.46,,17,0,0,0,0,0,0,5,-1,10,0,0,0,20,0,0,0,16,7,53.3,0,0,0,0,-4,0,57,48,48,,0,0,0,33.3,16.7,0,-800,-62200,0,458300,591200,81,5,0,20.97,0.44,0,0,0,0,27,17,0,30,-4,9281,50,82,81,74,36,,CTW,2026-05-27,2026
6,"Addo-Carr, Josh",PAR,12,504200,07,BUL,,5,46,48,80,81,0.58,0.19,15,17,0,16,-2,21,0.26,,17,0,0,0,0,0,0,3,0,6,0,0,0,10,0,0,0,10,2,71.4,0,0,0,0,-2,0,48,53,48,,0,0,0,42.9,0,0,-24800,-87000,0,458300,591200,81,6,0,19.17,0.4,0,0,0,0,15,17,0,16,-2,10504,58,82,81,52,31,,CTW,2026-05-27,2026
7,"Addo-Carr, Josh",PAR,12,482900,08,MNL,,5,26,45,80,81,0.33,0.3,24,0,0,2,0,26,0.33,,0,0,0,0,0,0,0,11,-2,2,0,0,0,0,0,0,0,10,5,50.0,0,0,0,0,0,0,47,49,45,,0,0,0,10,15.4,0,-21300,-108300,0,458300,591200,81,7,0,19.34,0.43,0,0,0,0,24,0,0,2,0,10274,36,80,81,89,92,,CTW,2026-05-27,2026
8,"Addo-Carr, Josh",PAR,12,448700,09,NZL,,5,46,45,80,81,0.58,0.39,31,3,0,14,-2,35,0.44,,0,0,0,0,0,0,0,4,0,4,0,0,0,10,0,0,0,22,5,68.8,3,0,0,0,-2,0,39,43,45,,0,0,0,12.5,0,0,-34200,-142500,0,458300,591200,81,8,0,18.1,0.4,0,0,0,0,31,3,0,14,-2,11505,36,80,81,77,65,,CTW,2026-05-27,2026
9,"Addo-Carr, Josh",PAR,12,447600,10,NQC,,5,76,48,82,81,0.93,0.34,28,37,0,13,-2,36,0.44,,34,0,0,0,0,0,0,9,-1,8,0,0,0,0,0,0,0,16,4,66.7,3,5,0,0,-2,0,49,53,48,,0,0,0,33.3,10,0,-1100,-143600,0,458300,591200,81,9,0,19.65,0.41,0,0,0,0,28,37,0,13,-2,9135,61,81,80,27,36,,CTW,2026-05-27,2026
10,"Addo-Carr, Josh",PAR,12,458300,11,MEL,,5,38,47,80,81,0.48,0.29,23,3,0,14,-2,27,0.34,,0,0,0,0,0,0,0,7,0,4,0,0,0,10,0,0,0,12,4,60.0,3,0,0,0,-2,0,53,46,47,,0,0,0,20,0,0,10700,-132900,0,458300,591200,81,10,18.9,18.9,0.4,0.4,0,0,0,23,3,0,14,-2,8647,57,81,80,36,58,,CTW,2026-05-27,2026
